sdss_dr7objid,sdss_dr8objid,RA,DEC,z,z_phot,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,probPSF,sdss_u_mag,sdss_u_err,sdss_g_mag,sdss_g_err,sdss_r_mag,sdss_r_err,sdss_i_mag,sdss_i_err,sdss_z_mag,sdss_z_err
587722982815957103,1237648704040861791,184.8369,-0.2415377,0.05043545,0.062238,5.549257,4.387348,4.33421,4.068089,3.881961,5.967781,5.318507,5.235381,5.166252,5.125004,0,19.95343,0.03112007,18.14874,0.004907623,17.42325,0.003378541,16.98966,0.003519499,16.69664,0.008409701
587722982821527836,1237648704046432575,197.6417,-0.3728129,0.1394849,0.148576,4.538064,3.196387,3.128706,2.970637,3.030823,4.441777,3.860671,3.950894,4.0557,3.907114,0,21.04182,0.06123273,19.45577,0.00945912,18.48216,0.006916246,18.00779,0.005558199,17.7052,0.01715674
587722983904444632,1237648705129349141,218.5469,0.6157527,0.02989913,0.057839,8.084287,8.363749,8.257897,8.0738,7.914797,7.852854,8.94997,8.426273,8.320274,8.741505,0,20.42141,0.04141954,18.52566,0.006131471,17.67412,0.00412447,17.2344,0.006328959,16.92186,0.009553287
588848899897884886,1237648721215946942,146.2998,-0.1199955,0.03074224,0.055246,12.40085,12.49428,11.49119,10.78909,9.450465,13.58786,12.98295,13.23546,12.73684,11.72732,0,20.74857,0.05543816,18.67811,0.006113516,17.62401,0.003670807,17.10015,0.00335789,16.69177,0.007621133
588848899897884886,1237648721215946942,146.2998,-0.1199955,0.03070351,0.055246,12.40085,12.49428,11.49119,10.78909,9.450465,13.58786,12.98295,13.23546,12.73684,11.72732,0,20.74857,0.05543816,18.67811,0.006113516,17.62401,0.003670807,17.10015,0.00335789,16.69177,0.007621133
588848899907911752,1237648721225973840,169.196,-0.1002097,0.03931824,0.039833,7.711847,8.951548,8.956833,8.159769,7.716027,6.608538,11.46299,10.86525,8.62611,7.923993,0,20.40749,0.4521215,18.86716,0.05611364,18.07328,0.02180511,17.6672,0.01321467,17.34839,0.0202504
588848899910402059,1237648721228464139,174.7639,-0.2059989,0.01801363,0.056057,29.10697,29.12107,22.07251,21.30184,20.98592,29.493,31.06023,28.92604,28.35447,30.25282,0,19.37999,0.02111901,17.42456,0.002993589,16.4721,0.001958473,15.97333,0.001794969,15.58339,0.0037585
588848899910402059,1237648721228464139,174.7639,-0.2059989,0.01805773,0.056057,29.10697,29.12107,22.07251,21.30184,20.98592,29.493,31.06023,28.92604,28.35447,30.25282,0,19.37999,0.02111901,17.42456,0.002993589,16.4721,0.001958473,15.97333,0.001794969,15.58339,0.0037585
588848899910402059,1237648721228464139,174.7639,-0.2059989,0.01806758,0.056057,29.10697,29.12107,22.07251,21.30184,20.98592,29.493,31.06023,28.92604,28.35447,30.25282,0,19.37999,0.02111901,17.42456,0.002993589,16.4721,0.001958473,15.97333,0.001794969,15.58339,0.0037585
588848899935699292,1237648721253761371,232.6097,0.002980556,0.0859503,0.088042,4.24364,4.083095,3.818073,3.705746,3.481843,4.400016,4.191723,4.134154,4.09529,3.818826,0,20.5447,0.04622684,19.08129,0.008134042,18.28849,0.00602779,17.77313,0.005685738,17.48835,0.01509648
