# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
#
# Results of Query: Database UKIDSSDR9PLUS 09/07/14 20:06
# SELECT my.sdss_dr8objid  sdss_dr8objid, x.distanceMins    
# distanceMins, u.sourceID        ukidss_objid, u.ebv             eBV,  
#  u.yAperMag4       ukidss_y_mag, u.yAperMag4Err    ukidss_y_err,   
# u.j_1AperMag4     ukidss_j_mag, u.j_1AperMag4Err  ukidss_j_err,   
# u.hAperMag4       ukidss_h_mag, u.hAperMag4Err    ukidss_h_err,   
# u.kAperMag4       ukidss_k_mag,    u.kAperMag4Err    ukidss_k_err   
# FROM  lasSourceXDR8PhotoObj x,  lasSource u,  #userTable my   WHERE 
# x.slaveObjID=my.sdss_dr8objID and x.masterObjID=u.sourceID and 
# x.sdssPrimary=1 and x.distanceMins < .01 and u.pNoise < .05   and 
# x.distanceMins IN ( SELECT MIN(distanceMins) FROM 
# lasSourceXDR8PhotoObj WHERE masterObjID=x.masterObjID AND 
# sdssPrimary=1) order by my.sdss_dr8objid,u.sourceid
# Column Headers at start of file AND below
#
# sdss_dr8objid,distanceMins,ukidss_objid,eBV,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err
 1237648702968103032,     +0.003471,        433870525047,     +0.026257,    +16.294455,     +0.009148,    +15.742267,     +0.009191,    +15.011984,     +0.009870,    +14.471326,     +0.009499
 1237648702972952732,     +0.002669,        433870539222,     +0.032168,    +15.395308,     +0.004890,    +14.824964,     +0.004502,    +14.177230,     +0.004487,    +13.719780,     +0.004576
 1237648702975967357,     +0.002703,        433870421049,     +0.024593,    +16.855656,     +0.010643,    +16.289420,     +0.010400,    +15.571456,     +0.008907,    +15.061537,     +0.012645
 1237648702975967357,     +0.003320,        433870559172,     +0.024593,    +16.817352,     +0.013054,    +16.234955,     +0.013327,    +15.542475,     +0.008563,    +15.036925,     +0.010538
 1237648702977671284,     +0.001146,        433870416224,     +0.048279,    +16.864515,     +0.010543,    +16.288530,     +0.010572,    +15.623901,     +0.009717,    +15.128050,     +0.013792
 1237648702977671284,     +0.001618,        433870453198,     +0.048279, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,    +15.612429,     +0.009005,    +15.105947,     +0.012720
 1237648702978326658,     +0.007294,        433870393407,     +0.046413,    +15.954475,     +0.008304,    +15.384426,     +0.008990,    +14.573120,     +0.006243,    +14.078595,     +0.006824
 1237648702978326658,     +0.007294,        433870393407,     +0.046413,    +15.954475,     +0.008304,    +15.384426,     +0.008990,    +14.573120,     +0.006243,    +14.078595,     +0.006824
 1237648702978326658,     +0.001268,        433870426449,     +0.046414,    +15.932961,     +0.006872,    +15.290472,     +0.006207,    +14.557934,     +0.004705,    +14.074723,     +0.007477
 1237648702978326658,     +0.001268,        433870426449,     +0.046414,    +15.932961,     +0.006872,    +15.290472,     +0.006207,    +14.557934,     +0.004705,    +14.074723,     +0.007477
