s_type	g_type	u_type	w_type	trial_eta	test_eta	trial_sig	test_sig	state
dev	calib	aper	pro	52.0	69.7368421053	0.278847984646	0.559375574333	1
model	calib	aper	pro	54.6666666667	61.8421052632	0.261489090909	0.708703295503	1
cmodel	calib	aper	pro	53.3333333333	67.1052631579	0.30648437118	0.581884464286	1
petro	calib	aper	pro	65.3846153846	74.6835443038	0.920406197879	1.30462	1
fiber2	calib	aper	pro	56.7901234568	66.25	0.29303937741	0.543878152658	1
fiber	calib	aper	pro	51.2195121951	62.0253164557	0.234367923126	0.69800338329	1
dev	aper1	aper	pro	52.0	73.6842105263	0.294544252357	0.562939000971	1
model	aper1	aper	pro	62.6666666667	62.3376623377	0.430288692143	0.90946	1
cmodel	aper1	aper	pro	56.0	67.1052631579	0.322689284116	0.567490089573	1
petro	aper1	aper	pro	70.5128205128	75.0	1.85359103078	1.67075625171	1
fiber2	aper1	aper	pro	66.6666666667	67.0731707317	0.348423157895	0.752299105039	1
fiber	aper1	aper	pro	57.3170731707	66.25	0.28470324425	1.11218571429	1
dev	aper2	aper	pro	52.0	73.6842105263	0.294544252357	0.562939000971	1
model	aper2	aper	pro	62.6666666667	62.3376623377	0.430288692143	0.90946	1
cmodel	aper2	aper	pro	56.0	67.1052631579	0.322689284116	0.567490089573	1
petro	aper2	aper	pro	70.5128205128	74.6835443038	1.85359103078	1.65808715897	1
fiber2	aper2	aper	pro	66.6666666667	66.6666666667	0.348423157895	0.733902170047	1
fiber	aper2	aper	pro	57.3170731707	66.25	0.28470324425	1.11218571429	1
dev	aper3	aper	pro	54.6666666667	71.0526315789	0.312000162275	0.562198510113	1
model	aper3	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
cmodel	aper3	aper	pro	58.6666666667	68.4210526316	0.355015	0.576116428571	1
petro	aper3	aper	pro	70.5128205128	74.6835443038	1.85359103078	1.65808715897	1
fiber2	aper3	aper	pro	66.6666666667	66.6666666667	0.348423157895	0.733902170047	1
fiber	aper3	aper	pro	57.3170731707	65.8227848101	0.28470324425	1.08727142857	1
dev	aper4	aper	pro	54.6666666667	71.0526315789	0.312000162275	0.562198510113	1
model	aper4	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
cmodel	aper4	aper	pro	58.6666666667	68.4210526316	0.355015	0.576116428571	1
petro	aper4	aper	pro	70.5128205128	74.6835443038	1.85359103078	1.65808715897	1
fiber2	aper4	aper	pro	66.6666666667	66.6666666667	0.348423157895	0.733902170047	1
fiber	aper4	aper	pro	66.6666666667	66.6666666667	0.348423157895	0.733902170047	1
dev	aper5	aper	pro	54.6666666667	71.0526315789	0.312000162275	0.562198510113	1
model	aper5	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
cmodel	aper5	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
petro	aper5	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
fiber2	aper5	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
fiber	aper5	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
dev	auto	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
model	auto	aper	pro	62.6666666667	61.8421052632	0.430288692143	0.822442727273	1
cmodel	auto	aper	pro	56.0	67.1052631579	0.322689284116	0.567490089573	1
petro	auto	aper	pro	70.5128205128	74.6835443038	1.85359103078	1.65808715897	1
fiber2	auto	aper	pro	66.6666666667	66.6666666667	0.348423157895	0.733902170047	1
fiber	auto	aper	pro	57.3170731707	66.25	0.28470324425	1.11218571429	1
dev	iso	aper	pro	54.6666666667	70.6666666667	0.312000162275	0.561753060208	1
model	iso	aper	pro	62.6666666667	61.3333333333	0.430288692143	0.735425454545	1
cmodel	iso	aper	pro	58.6666666667	68.4210526316	0.355015	0.576116428571	1
petro	iso	aper	pro	70.5128205128	74.6835443038	1.85359103078	1.65808715897	1
